,V1,V2,V2 - V1
Revenue (prior),67060.0,67060.0,0.0
Revenue,64806.784,68065.9,3259.1159999999945
Gross Profit,24626.57792,24639.855799999998,13.277879999997822
Opex,11535.607552,12115.730199999998,580.1226479999987
EBIT,13090.970368,12524.1256,-566.8447680000008
Taxes,2945.4683328,2817.92826,-127.54007279999996
NOPAT,10145.5020352,9706.197339999999,-439.3046952000004
Delta NWC,-180.2572799999998,80.47199999999975,260.72927999999956
CapEx,3240.3392000000003,4220.0858,979.7465999999995
Free Cash Flow,7085.420115199999,5405.639539999999,-1679.7805751999995
