ordering,driver,incremental_impact
capex_pct -> cogs_pct -> revenue_growth,capex_pct,-777.6814079999995
capex_pct -> cogs_pct -> revenue_growth,cogs_pct,-904.0546368000014
capex_pct -> cogs_pct -> revenue_growth,revenue_growth,1.9554696000013791
capex_pct -> revenue_growth -> cogs_pct,capex_pct,-777.6814079999995
capex_pct -> revenue_growth -> cogs_pct,cogs_pct,-949.5193050000016
capex_pct -> revenue_growth -> cogs_pct,revenue_growth,47.42013780000161
cogs_pct -> capex_pct -> revenue_growth,capex_pct,-777.6814079999995
cogs_pct -> capex_pct -> revenue_growth,cogs_pct,-904.0546368000014
cogs_pct -> capex_pct -> revenue_growth,revenue_growth,1.9554696000013791
cogs_pct -> revenue_growth -> capex_pct,capex_pct,-816.7907999999998
cogs_pct -> revenue_growth -> capex_pct,cogs_pct,-904.0546368000014
cogs_pct -> revenue_growth -> capex_pct,revenue_growth,41.06486160000168
revenue_growth -> capex_pct -> cogs_pct,capex_pct,-816.7907999999998
revenue_growth -> capex_pct -> cogs_pct,cogs_pct,-949.5193050000016
revenue_growth -> capex_pct -> cogs_pct,revenue_growth,86.52952980000191
revenue_growth -> cogs_pct -> capex_pct,capex_pct,-816.7907999999998
revenue_growth -> cogs_pct -> capex_pct,cogs_pct,-949.5193050000016
revenue_growth -> cogs_pct -> capex_pct,revenue_growth,86.52952980000191
