,V1,V2,V2 - V1
FCF year 1,1080.0,1055.0,-25.0
PV of year 1,1004.6511627906978,972.3502304147465,-32.30093237595122
FCF year 2,1166.4,1113.0249999999999,-53.37500000000023
PV of year 2,1009.3239588967011,945.4649705876107,-63.85898830909048
FCF year 3,1259.7120000000002,1174.2413749999998,-85.47062500000038
PV of year 3,1014.0184889380812,919.3230819999349,-94.69540693814633
FCF year 4,1360.4889600000004,1238.8246506249998,-121.66430937500058
PV of year 4,1018.7348540029095,893.9040106082315,-124.83084339467803
FCF year 5,1469.3280768000004,1306.9600064093747,-162.3680703906257
PV of year 5,1023.473155649435,869.18777068358,-154.28538496585497
PV of explicit period,5070.201620277825,4600.230064294104,-469.9715559837214
Terminal value,38018.86398720001,23571.138361207668,-14447.725625992345
PV of terminal value,26482.36790242913,15675.87768881965,-10806.49021360948
Enterprise value,31552.569522706955,20276.107753113753,-11276.461769593203
Net debt,4000.0,4000.0,0.0
Equity value,27552.569522706955,16276.107753113753,-11276.461769593203
Shares outstanding,250.0,250.0,0.0
Implied share price,110.21027809082783,65.10443101245501,-45.10584707837282
