,V1,V2,V2 - V1
Revenue (prior),18400.0,18400.0,0.0
Revenue,18804.8,19154.399999999998,349.59999999999854
Gross Profit,4889.248,4750.2912,-138.95679999999993
Opex,4287.4944,4482.129599999999,194.6351999999997
EBIT,601.7536,268.16160000000036,-333.59199999999964
Taxes,144.420864,64.35878400000009,-80.06207999999991
NOPAT,457.332736,203.8028160000003,-253.52991999999972
Delta NWC,-14.167999999999893,-26.403999999999883,-12.23599999999999
CapEx,376.096,383.08799999999997,6.991999999999962
Free Cash Flow,95.4047359999999,-152.8811839999998,-248.2859199999997
