,V1,V2,V2 - V1
Revenue (prior),4527.0,4527.0,0.0
Revenue,4667.3369999999995,4775.985,108.64800000000014
Gross Profit,3547.1761199999996,3629.7486,82.57248000000027
Opex,2427.0152399999997,2364.1125749999997,-62.90266500000007
EBIT,1120.16088,1265.6360250000002,145.47514500000034
Taxes,201.6289584,227.81448450000005,26.18552610000006
NOPAT,918.5319215999999,1037.8215405,119.28961890000016
Delta NWC,7.016849999999977,12.449249999999978,5.432400000000001
CapEx,140.02011,214.919325,74.899215
Free Cash Flow,771.4949615999999,810.4529655000002,38.958003900000335
